id,name,category,size_class,value,year
B089,Nova Prime,Type B,Medium,59.4,2023
B090,Terra Five,Type B,Medium,59.5,2023
B091,Unity Ten,Type B,Medium,53.6,2023
B092,Helix Prime,Type B,Medium,58.9,2023
B093,Lambda Prime,Type B,Medium,63.7,2023
B094,Wave Six,Type B,Medium,48.8,2023
B095,Nu Three,Type B,Medium,55.5,2023
B096,Nexus Ten,Type B,Medium,81.2,2023
B097,Terra Four,Type B,Medium,35.0,2023
B098,Apex Four,Type B,Medium,60.1,2023
B099,Eta Minor,Type B,Medium,64.3,2023
B100,Quark Eight,Type B,Medium,47.6,2023
B101,Theta Eight,Type B,Medium,81.2,2023
B102,Phi Minor,Type B,Medium,47.5,2023
B103,Pulse Seven,Type B,Medium,53.5,2023
B104,Nexus Eight,Type B,Medium,62.9,2023
B105,Sigma Minor,Type B,Medium,49.0,2023
B106,Tau Four,Type B,Medium,55.4,2023
B107,Zeta Three,Type B,Large,94.5,2023
B108,Core Seven,Type B,Large,88.5,2023
B109,Delta Four,Type B,Large,90.0,2023
B110,Beta Plus,Type B,Large,87.6,2023
B111,Nexus One,Type B,Large,63.9,2023
B112,Core Nine,Type B,Large,70.7,2023
B113,Vortex Star,Type B,Large,96.8,2023
B114,Chi Prime,Type B,Large,83.0,2023
B115,Lambda Plus,Type B,Large,85.8,2023
B116,Apex Ten,Type B,Large,83.5,2023
B117,Iota Plus,Type B,Large,51.7,2023
B118,Xi Eight,Type B,Large,56.3,2023
B119,Nova Five,Type B,Large,83.6,2023
B120,Beta Major,Type B,Large,84.9,2023
B121,Psi Four,Type B,Large,88.6,2023
B122,Pi Four,Type B,Large,76.5,2023
B123,Pi Three,Type B,Large,73.0,2023
B124,Rho Minor,Type B,Large,94.3,2023
B125,Theta Minor,Type B,Large,81.8,2023
B126,Upsilon Ten,Type B,Large,86.6,2023
B127,Apex Major,Type B,Large,86.3,2023
B128,Upsilon Plus,Type B,Large,88.2,2023
C129,Terra Minor,Type C,Small,18.2,2023
C130,Omega Two,Type C,Small,34.2,2023
C131,Eta Seven,Type C,Small,23.0,2023
C132,Ion Major,Type C,Small,15.8,2023
C133,Wave Minor,Type C,Small,16.0,2023
C134,Ion Seven,Type C,Small,19.4,2023
C135,Zeta Five,Type C,Small,19.1,2023
C136,Ion Ten,Type C,Small,21.9,2023
C137,Mu Eight,Type C,Small,25.4,2023
C138,Chi Five,Type C,Small,21.0,2023
C139,Nu Two,Type C,Small,19.9,2023
C140,Spark Minor,Type C,Small,20.4,2023
C141,Beta Two,Type C,Small,19.3,2023
C142,Pi Five,Type C,Small,17.0,2023
C143,Spark Six,Type C,Small,17.6,2023
C144,Upsilon Five,Type C,Small,19.2,2023
C145,Mu Four,Type C,Small,18.2,2023
C146,Unity Minor,Type C,Small,24.2,2023
C147,Omicron Six,Type C,Small,21.5,2023
C148,Sigma One,Type C,Small,10.0,2023
C149,Iota Prime,Type C,Small,21.1,2023
C150,Nexus Eight,Type C,Small,22.5,2023
C151,Delta Five,Type C,Small,17.4,2023
C152,Epsilon Ten,Type C,Small,21.2,2023
C153,Upsilon Two,Type C,Medium,36.0,2023
C154,Wave Four,Type C,Medium,40.5,2023
C155,Helix Five,Type C,Medium,34.0,2023
C156,Wave Major,Type C,Medium,37.9,2023
C157,Xi Five,Type C,Medium,45.8,2023
C158,Alpha Seven,Type C,Medium,40.8,2023
C159,Tau One,Type C,Medium,41.5,2023
C160,Omicron Star,Type C,Medium,38.6,2023
C161,Unity Prime,Type C,Medium,35.4,2023
C162,Kappa Star,Type C,Medium,42.4,2023
C163,Delta Three,Type C,Medium,42.1,2023
C164,Helix Two,Type C,Medium,44.5,2023
C165,Apex Five,Type C,Medium,31.1,2023
C166,Flux Major,Type C,Medium,41.1,2023
C167,Zeta Four,Type C,Medium,40.6,2023
C168,Sigma Ten,Type C,Medium,30.4,2023
C169,Nexus Nine,Type C,Medium,64.8,2023
C170,Mu Ten,Type C,Medium,35.1,2023
C171,Core Six,Type C,Medium,44.9,2023
C172,Lambda Six,Type C,Medium,39.0,2023
C173,Spark One,Type C,Large,76.7,2023
C174,Phi Two,Type C,Large,60.8,2023
C175,Relay Eight,Type C,Large,44.8,2023
C176,Omega Ten,Type C,Large,63.1,2023
C177,Spark Three,Type C,Large,65.3,2023
C178,Orbit Two,Type C,Large,60.4,2023
C179,Pi Major,Type C,Large,101.2,2023
C180,Theta Eight,Type C,Large,62.2,2023
C181,Kappa Eight,Type C,Large,64.0,2023
C182,Nexus Eight,Type C,Large,63.1,2023
C183,Nova Four,Type C,Large,58.2,2023
C184,Sigma Minor,Type C,Large,74.9,2023
C185,Pulse Five,Type C,Large,55.7,2023
C186,Orbit Plus,Type C,Large,62.3,2023
C187,Psi Six,Type C,Large,73.6,2023
C188,Nu Major,Type C,Large,59.2,2023
C189,Core One,Type C,Large,66.7,2023
C190,Kappa Eight,Type C,Large,70.7,2023
C191,Unity Six,Type C,Large,61.6,2023
C192,Ion One,Type C,Large,57.3,2023
C193,Kappa Two,Type C,Large,68.0,2023
C194,Zeta Plus,Type C,Large,59.5,2023
C195,Relay Seven,Type C,Large,73.9,2023
